"GR113-003","GR113-005","GR113-006","GR113-010","GR113-015","GR113-016","GR113-018","GR113-020","GR113-021","GR113-022","GR113-023","GR113-024","GR113-025","GR113-026","GR113-027","GR113-028","GR113-029","GR113-030","GR113-031","GR113-032","GR113-033","GR113-034","GR113-035","GR113-036","GR113-038","GR113-039","GR113-040","GR113-041","GR113-042","GR113-043","GR113-044","GR113-045","GR113-046","GR113-048","GR113-049","GR113-050","GR113-051","GR113-052","GR113-055","GR113-056","GR113-057","GR113-059","GR113-060","GR113-062","GR113-063","GR113-065","GR113-066","GR113-067","GR113-068","GR113-069","GR113-070","GR113-071","GR113-073","GR113-074","GR113-075","GR113-077","GR113-078","GR113-083","GR113-084","GR113-085","GR113-086","GR113-087","GR113-088","GR113-089","GR113-090","GR113-091","GR113-092","GR113-094","GR113-095","GR113-096","GR113-100","GR113-102","GR113-103","GR113-106","GR113-107","GR113-108","GR113-109","GR113-110","GR113-111","GR113-114","GR113-115","GR113-116","GR113-118","GR113-119","GR113-120","GR113-121","GR113-122","GR113-123","GR113-125","GR113-126","GR113-128","GR113-129","GR113-130","GR113-132","GR113-133","GR113-135","Other","Combine-GR113-097"
772,28,11,3019,536,520,525,773,1226,917,4179,2080,3390,303,12273,730,3331,338,784,1152,2403,1189,1323,1312,89,1663,1869,1004,3,5724,1267,411,6076,417,14,35,2094,8109,280,3201,390,8409,321,4722,14647,99,61,5827,10715,2515,10897,475,724,790,332,21,3658,46,552,294,11054,52,1503,2983,226,29,166,1693,1553,282,3821,62,38,3,96,1027,797,2489,24173,3222,85,180,2686,31,598,139,3728,1507,1838,1947,1111,435,34,25,381,214,42,60
739,31,11,3151,593,550,487,818,1283,950,4568,2166,3489,306,12897,732,3517,341,898,1208,2418,1220,1371,1326,91,1685,1873,1067,4,5884,1342,427,6251,423,20,38,2131,8361,263,3273,392,8930,326,4977,14779,118,78,5945,11184,2427,11218,414,802,785,398,17,3459,39,558,278,10598,73,1464,2906,261,29,184,1653,1559,307,3875,48,53,2,94,1012,805,2529,24804,3530,114,184,2748,38,594,142,3971,1620,1968,1976,1266,410,50,26,420,221,30,60
793,27,9,3236,567,492,485,840,1222,962,4516,2170,3608,308,12890,727,3580,375,855,1189,2403,1275,1348,1354,70,1669,1882,1049,9,5895,1319,408,6173,397,19,42,2216,8346,259,3341,341,8684,351,4790,14440,113,79,5722,10825,2520,10964,470,788,745,384,16,3423,41,523,249,9955,56,1508,2877,229,38,168,1660,1580,321,3730,59,42,0,85,1032,790,2464,24819,3642,123,156,2644,35,491,155,4023,1534,1905,2007,1185,465,58,32,397,239,40,67
750,23,10,3123,545,553,548,785,1249,958,4314,2120,3464,302,12483,762,3406,324,829,1135,2362,1200,1350,1385,94,1593,1831,1015,8,5866,1333,413,6012,398,30,43,2197,8419,306,3175,399,8486,324,4478,14172,108,64,5737,10600,2434,10826,427,796,727,330,20,3358,26,475,255,9973,56,1473,2844,244,32,165,1697,1502,298,3734,54,46,1,98,979,817,2518,24375,3372,104,143,2728,29,285,136,4062,1434,1778,1800,1193,417,39,20,382,229,46,47
763,26,12,3390,613,505,586,825,1341,952,4489,2242,3694,324,12826,759,3591,357,903,1204,2418,1190,1453,1472,112,1670,2009,1033,14,6011,1320,418,6566,446,21,42,2351,9368,279,3442,419,9339,355,4820,15061,120,81,6104,11270,2658,11792,486,899,802,393,45,3838,36,554,295,10790,57,1574,3057,245,28,178,1864,1585,324,3849,55,45,3,106,972,841,2733,25979,3550,108,153,2930,45,216,198,4112,1533,1806,1882,1092,394,51,18,397,234,49,78
761,28,10,3315,563,489,556,856,1278,968,4399,2069,3441,276,12473,695,3404,325,787,1166,2363,1148,1347,1331,102,1705,1862,998,2,5805,1366,425,6582,406,15,45,2330,9408,273,3399,434,9309,324,4919,15035,118,71,6059,11277,2675,11777,462,875,778,369,54,3709,46,505,286,10912,57,1471,3141,281,33,193,1805,1540,328,3984,71,51,0,98,914,804,2801,25823,3159,75,115,2876,52,160,230,3856,1479,1687,1670,1124,379,46,17,357,223,47,76
795,33,11,3517,647,511,588,853,1347,920,4609,2275,3481,333,12695,731,3597,346,860,1168,2569,1294,1321,1414,101,1695,1899,1060,7,5887,1395,448,6860,440,13,53,2542,10112,252,3722,490,10025,379,5466,16072,109,81,6523,12101,2840,12260,521,876,843,388,77,4372,52,610,335,12196,53,1713,3353,239,31,181,1889,1625,326,4288,61,57,3,98,930,837,3211,27627,3245,71,100,2940,60,160,253,3937,1623,1770,1699,1165,403,51,21,335,245,41,77
914,24,12,3846,648,550,614,894,1343,1028,4520,2214,3693,333,13002,742,3573,387,890,1188,2652,1228,1459,1465,89,1820,2000,1128,13,6202,1446,476,7392,536,19,45,2596,10612,295,4042,483,10389,322,5594,17106,133,81,7052,12552,3051,12968,538,902,919,428,116,5179,59,692,312,13268,65,1893,3705,290,41,195,1957,1701,304,4572,89,69,1,98,964,877,2755,29561,2734,49,136,3118,52,159,347,4321,1643,1882,1838,1075,424,46,26,415,215,59,73
812,25,9,3459,547,546,608,869,1198,937,4280,2025,3352,316,12204,678,3398,350,824,1140,2413,1142,1320,1313,75,1616,1902,1074,9,5823,1274,423,6851,480,17,45,2441,9729,313,3792,425,9795,338,5299,16090,127,77,6498,11898,2744,11823,536,845,845,372,447,4715,50,622,327,12987,51,1739,3266,258,29,173,1780,1607,296,4230,67,59,1,83,890,913,2553,27524,2820,57,108,2751,32,184,296,4653,1541,1764,1681,903,363,45,17,428,235,58,77
883,36,9,3773,569,590,607,821,1317,982,4551,2292,3703,373,12897,718,3711,355,921,1186,2624,1276,1404,1448,85,1742,1936,1189,6,6029,1360,500,7108,505,14,74,2535,10076,334,3839,482,9969,351,5576,16712,123,81,7234,12505,2872,12431,514,891,779,413,1064,5144,57,663,328,14369,62,1894,3668,280,28,211,1801,1618,301,4580,63,44,1,103,1025,894,2655,28398,3105,75,134,2955,31,215,269,5067,1531,2048,1873,1100,376,41,25,480,262,62,72
